Código Departamento (DIVIPOLA),DEPARTAMENTOS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021p,2022p,2023pr
27,Chocó,"1,232","1,374","1,490","1,672","2,104","2,903","3,652","3,555","3,080","3,145","3,571","4,222","3,958","3,777","4,168","4,489","5,198","6,095","6,797"
23,Córdoba,"6,023","6,803","8,193","8,202","8,473","9,011","9,758","10,779","11,697","12,913","13,657","14,662","15,793","16,800","18,279","17,893","21,121","25,603","27,752"
25,Cundinamarca,"19,546","21,387","24,214","27,379","29,327","31,676","35,465","38,214","40,742","43,759","48,055","53,516","55,731","59,085","63,112","61,315","73,400","91,648","99,388"
94,Guainía,127,148,151,166,180,196,206,232,258,275,307,332,339,364,390,374,443,498,556
95,Guaviare,349,375,421,442,450,472,484,530,572,620,677,718,758,783,832,826,954,"1,142","1,252"
41,Huila,"6,076","6,577","7,187","8,491","8,587","9,562","11,263","11,690","12,414","13,383","13,805","14,693","15,222","15,989","17,198","16,653","19,732","24,460","26,370"
44,La Guajira,"4,199","4,759","4,961","6,488","6,792","6,931","8,080","8,473","8,188","8,361","8,666","9,442","10,785","11,882","11,225","8,709","14,473","22,272","19,595"
47,Magdalena,"4,323","4,691","5,239","6,100","6,857","7,270","7,761","8,480","9,319","9,550","10,514","11,692","12,422","13,233","14,148","13,841","16,344","20,002","21,791"
50,Meta,"7,953","9,656","10,623","15,253","16,836","23,608","35,741","39,466","42,214","37,364","30,712","26,335","30,239","35,331","38,496","30,525","40,273","55,686","53,708"
52,Nariño,"5,169","5,989","6,517","6,915","7,418","7,704","8,553","9,343","10,149","10,991","12,230","13,893","14,062","14,835","15,907","15,702","18,237","21,560","23,330"
54,Norte de Santander,"5,098","5,987","6,756","7,712","8,302","8,698","9,408","9,897","10,747","11,643","12,534","13,811","14,445","15,443","16,289","15,814","18,601","23,222","24,967"
86,Putumayo,"1,116","1,331","1,566","2,025","2,292","2,886","3,637","3,736","4,497","4,485","3,481","3,298","3,613","4,033","4,049","3,361","4,272","5,658","5,795"
63,Quindío,"2,750","3,255","3,549","3,834","4,018","4,281","4,767","5,242","5,460","5,720","6,381","7,133","7,633","7,951","8,533","8,275","9,866","12,120","13,157"
66,Risaralda,"5,512","6,342","6,852","7,438","7,969","8,420","8,980","9,629","10,613","11,728","12,656","13,891","14,922","15,877","17,078","16,410","19,413","23,874","26,193"
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",489,561,655,689,753,785,857,934,"1,046","1,144","1,253","1,341","1,439","1,531","1,639","1,350","1,701","2,068","2,253"
68,Santander,"18,733","21,572","24,620","28,389","28,494","32,726","37,784","40,283","43,409","50,858","51,999","55,182","59,463","63,776","69,124","61,639","75,257","93,467","101,105"
70,Sucre,"2,386","2,758","3,161","3,486","3,879","4,011","4,473","4,994","5,480","6,089","6,577","7,186","7,702","8,123","8,697","8,457","9,794","11,475","12,568"
73,Tolima,"7,702","8,763","10,047","11,345","11,432","11,965","13,518","14,387","15,275","16,560","17,381","18,863","19,988","21,002","22,526","21,417","25,154","30,959","33,409"
76,Valle del Cauca,"34,639","39,675","45,059","48,319","51,607","54,213","58,465","62,545","66,719","72,279","78,074","85,102","89,766","95,894","103,173","100,115","116,555","140,900","152,479"
97,Vaupés,80,85,104,112,123,130,149,164,190,218,233,251,263,281,303,294,333,376,420
99,Vichada,302,329,337,367,382,383,401,435,467,465,529,574,597,635,688,687,802,964,"1,059"
